15935|198143|-1
14840|262720|0
6939|18450|-1
13760|53678|0
47169|51438|-1
3549|4323|0
3257|30607|-1
52720|53181|0
199714|205112|-1
6461|46179|-1
4766|9637|-1
202194|22822|0
34177|6910|0
28598|53048|-1
1916|22616|0
45896|24085|-1
9002|60375|-1
22381|265437|0
600|29941|-1
33491|22348|-1
174|6407|-1
15295|3356|0
10026|14127|-1
46887|63161|-1
22548|262720|0
57218|62140|1
3356|3762|-1
6830|57176|-1
18881|263165|-1
53828|7552|0
262733|53067|0
23106|5713|0
22652|33517|0
8220|51231|-1
16735|262834|0
34700|202023|-1
197965|58511|0
11432|4323|0
263447|52720|0
7018|22103|-1
43578|8220|0
9583|133275|-1
25408|44112|-1
20773|24482|0
28760|34019|0
11686|394749|0
5588|50698|-1
134178|63956|0
209|14057|-1
42541|8560|0
11492|18812|-1
16347|60752|0
263869|52720|0
9498|24374|-1
198545|25091|0
209|10717|-1
28210|262519|-1
18705|19016|0
8612|201362|-1
13097|14537|0
262501|264911|0
12695|51289|-1
3356|32475|-1
24482|47169|0
10026|8816|0
1299|57586|-1
262317|263075|0
58543|9505|0
12779|56550|0
1547|19016|0
24724|51864|-1
209|53288|-1
263508|52936|0
16735|264566|0
8114|701|1
3216|34241|-1
15547|45758|0
45014|6661|0
46887|1932|-1
17819|134691|-1
1237|10052|-1
25408|8492|0
8905|197627|-1
262317|28589|0
4768|134118|-1
27446|51468|0
12859|25180|0
16735|61922|-1
43531|6648|0
20811|57469|-1
3257|39636|-1
3216|202758|-1
133165|9892|0
267440|52720|0
4766|23572|-1
12182|394738|-1
30781|42689|0
4766|23563|-1
5650|53484|-1
1798|40700|0
11404|21928|0
5410|6667|0
174|28914|-1
9002|206264|-1
29259|48526|0
2828|394772|-1
7018|393779|-1
10026|10099|0
12552|34756|0
42541|58138|0
7018|40816|-1
53597|852|0
45352|4651|0
49605|62217|0
2687|12052|-1
20504|6667|0
5413|61231|0
39156|48781|-1
702|13778|-1
8788|31489|-1
32787|31747|-1
15547|9115|0
3267|8684|-1
43142|48526|0
50295|51185|0
8881|197208|-1
33363|53677|-1
28329|53184|0
262664|264268|0
174|30481|-1
701|20088|-1
13157|45352|0
22773|21568|-1
30844|34407|0
23106|4761|0
6453|7617|-1
55410|131463|-1
37497|51028|0
52873|52696|-1
16347|39279|0
3356|20235|-1
28178|4323|0
4766|10176|-1
39737|60993|-1
12637|34868|0
15479|24482|0
29119|202125|-1
3491|24155|-1
10099|23673|0
20912|9104|0
263478|53070|0
38541|7575|0
